1405-05-05 11:32:21.328 Log saving enabled by user.
1405-05-05 15:34:15.309 Delimiter vk=13 layout=fa word='نمیکند' -> 'نمیکند'
1405-05-05 15:36:50.598 Delimiter vk=13 layout=en word='mi' -> 'mi'
1405-05-05 16:04:27.663 Delimiter vk=32 layout=fa word='بله' -> 'بله'
1405-05-05 16:04:29.160 Delimiter vk=32 layout=fa word='تایید' -> 'تایید'
1405-05-05 16:50:58.584 Delimiter vk=13 layout=en word='ev' -> 'ثر'
1405-05-05 16:50:58.615 Apply delete=2 'ev' -> 'ثر' (consumed: True)
1405-05-05 16:50:58.677 Layout switch OK -> Persian
1405-05-05 16:51:06.768 Delimiter vk=13 layout=en word='com' -> 'com'
1405-05-05 16:54:25.017 Delimiter vk=13 layout=en word='far' -> 'بشق'
1405-05-05 16:54:25.050 Apply delete=3 'far' -> 'بشق' (consumed: True)
1405-05-05 16:54:25.110 Layout switch OK -> Persian
1405-05-05 16:54:35.809 Delimiter vk=13 layout=en word='kala' -> 'نشمش'
1405-05-05 16:54:35.832 Apply delete=4 'kala' -> 'نشمش' (consumed: True)
1405-05-05 16:54:35.895 Layout switch OK -> Persian
1405-05-05 16:54:43.216 Delimiter vk=13 layout=en word='kala' -> 'نشمش'
1405-05-05 16:54:43.240 Apply delete=4 'kala' -> 'نشمش' (consumed: True)
1405-05-05 16:54:43.303 Layout switch OK -> Persian
